t,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,power.limit,clocks.sm,temperature.gpu
4081.81,98,62,45851,81920,334.72,400.00,1395,49
4091.84,100,52,45851,81920,258.06,400.00,1410,44
4101.87,100,61,45851,81920,286.26,400.00,1410,44
4111.9,100,55,45851,81920,351.88,400.00,1410,47
4121.93,100,51,45851,81920,312.36,400.00,1410,49
4131.96,100,50,45851,81920,339.56,400.00,1410,50
4141.99,100,59,45851,81920,374.89,400.00,1410,51
4152.02,100,55,45851,81920,245.95,400.00,1410,42
4162.05,100,52,45851,81920,418.22,400.00,1410,48
4172.08,100,50,45851,81920,302.98,400.00,1410,49
4182.11,97,49,45851,81920,368.38,400.00,1410,50
4192.14,98,78,45851,81920,341.16,400.00,1410,48
4202.17,100,57,45851,81920,268.86,400.00,1410,44
4212.2,100,61,45851,81920,273.39,400.00,1410,44
4222.23,100,44,45851,81920,439.18,400.00,1395,52
4232.26,96,48,45851,81920,370.78,400.00,1410,51
4242.28,100,49,45851,81920,303.87,400.00,1410,49
4252.31,100,57,45851,81920,276.19,400.00,1410,45
4262.34,100,62,45851,81920,281.60,400.00,1410,45
4272.37,100,50,45851,81920,355.12,400.00,1410,50
4282.4,100,50,45851,81920,354.46,400.00,1410,50
4292.43,100,50,45851,81920,244.57,400.00,1410,51
4302.46,100,53,45851,81920,261.75,400.00,1410,46
4312.49,100,63,45851,81920,286.95,400.00,1410,46
4322.52,100,61,45851,81920,379.65,400.00,1410,48
4332.55,100,62,45851,81920,338.09,400.00,1395,50
4342.58,98,79,45851,81920,364.41,400.00,1410,51
4352.61,96,48,45851,81920,374.44,400.00,1410,53
4362.64,100,57,45851,81920,262.59,400.00,1410,45
4372.67,100,61,45851,81920,280.08,400.00,1410,45
4382.7,100,45,45851,81920,382.34,400.00,1410,54
4392.73,100,50,45851,81920,322.67,400.00,1410,50
4402.76,100,51,45851,81920,328.11,400.00,1410,50
4412.79,100,55,45851,81920,264.98,400.00,1410,46
4422.81,100,60,45851,81920,274.32,400.00,1410,45
4432.84,100,49,45851,81920,359.92,400.00,1365,50
4442.87,100,51,45851,81920,337.27,400.00,1410,51
4452.9,100,51,45851,81920,319.68,400.00,1410,51
4462.92,100,50,45851,81920,254.22,400.00,1410,46
4472.95,100,61,45851,81920,287.28,400.00,1410,46
4482.99,100,67,45851,81920,303.87,400.00,1410,47
4493.01,100,43,45851,81920,386.26,400.00,1410,54
4503.04,95,47,45851,81920,363.17,400.00,1410,52
4513.07,100,49,45851,81920,292.60,400.00,1410,50
4523.1,100,56,45851,81920,268.77,400.00,1410,46
4533.13,100,56,45851,81920,249.44,400.00,1410,44
4543.16,100,36,45851,81920,336.43,400.00,1395,52
4553.19,96,47,45851,81920,364.41,400.00,1410,53
4563.22,98,63,45851,81920,316.13,400.00,1410,50
