t,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,power.limit,clocks.sm,temperature.gpu
713.83,0,0,74395,81920,71.43,400.00,1155,35
715.9,0,0,74395,81920,71.16,400.00,1155,35
717.97,0,0,74395,81920,71.16,400.00,1155,35
720.03,0,0,74395,81920,71.23,400.00,1155,35
722.1,0,0,74395,81920,71.16,400.00,1155,35
724.17,0,0,74395,81920,71.16,400.00,1155,35
726.24,0,0,74395,81920,71.16,400.00,1155,35
728.31,0,0,74395,81920,71.43,400.00,1155,35
730.38,0,0,74395,81920,71.43,400.00,1155,35
732.45,0,0,74395,81920,71.16,400.00,1155,35
734.52,0,0,74395,81920,71.23,400.00,1155,35
736.59,0,0,74395,81920,71.16,400.00,1155,35
738.72,0,0,74395,81920,71.16,400.00,1155,35
740.79,0,0,74395,81920,71.23,400.00,1155,35
742.86,0,0,74395,81920,71.16,400.00,1155,35
744.92,0,0,74395,81920,71.16,400.00,1155,35
747.0,0,0,74395,81920,71.43,400.00,1155,35
749.07,0,0,74395,81920,71.16,400.00,1155,35
751.14,0,0,74395,81920,71.16,400.00,1155,35
753.2,0,0,74395,81920,71.16,400.00,1155,35
755.27,0,0,74395,81920,71.16,400.00,1155,35
757.34,0,0,74395,81920,71.16,400.00,1155,35
759.41,0,0,74395,81920,71.16,400.00,1155,35
761.48,0,0,74395,81920,71.16,400.00,1155,35
763.55,0,0,74395,81920,71.16,400.00,1155,35
765.61,0,0,74395,81920,71.43,400.00,1155,35
767.75,0,0,74395,81920,71.43,400.00,1155,35
769.81,0,0,74395,81920,71.43,400.00,1155,35
771.88,0,0,74395,81920,71.16,400.00,1155,35
773.95,0,0,74395,81920,71.43,400.00,1155,35
776.01,0,0,74395,81920,71.43,400.00,1155,35
778.08,0,0,74395,81920,71.43,400.00,1155,35
780.15,0,0,74395,81920,71.16,400.00,1155,35
782.22,0,0,74395,81920,71.16,400.00,1155,35
784.28,0,0,74395,81920,71.51,400.00,1155,35
786.35,0,0,74395,81920,71.43,400.00,1155,35
788.41,0,0,74395,81920,71.16,400.00,1155,35
790.48,0,0,74395,81920,71.16,400.00,1155,35
792.54,0,0,74395,81920,71.16,400.00,1155,35
794.61,0,0,74395,81920,71.16,400.00,1155,35
796.79,0,0,74395,81920,71.16,400.00,1155,35
798.86,0,0,74395,81920,71.16,400.00,1155,35
800.92,0,0,74395,81920,71.16,400.00,1155,35
802.99,0,0,74395,81920,71.16,400.00,1155,35
805.04,0,0,74395,81920,71.43,400.00,1155,35
807.11,0,0,74395,81920,71.16,400.00,1155,35
809.17,0,0,74395,81920,71.16,400.00,1155,35
811.24,0,0,74395,81920,71.16,400.00,1155,35
813.3,0,0,74395,81920,71.14,400.00,1155,35
815.51,0,0,74395,81920,71.00,400.00,1155,35
817.57,0,0,74395,81920,71.07,400.00,1155,35
819.64,0,0,74395,81920,71.00,400.00,1155,35
821.71,0,0,74395,81920,71.25,400.00,1155,35
823.78,0,0,74395,81920,71.39,400.00,1155,35
825.94,0,0,74395,81920,71.39,400.00,1155,35
828.01,0,0,74395,81920,71.39,400.00,1155,35
830.08,0,0,74395,81920,71.00,400.00,1155,35
832.14,0,0,74395,81920,71.32,400.00,1155,35
834.21,0,0,74395,81920,71.07,400.00,1155,35
